Animal,post,pre
2,11153.105,11010.796
4,8350.719,9596.383
6,8311.873,7679.737
7,11170.647,6625.184
8,9669.47,6641.808
10,8388.756,8176.802
11,8194.473,5589.441
13,8229.173,6832.015
14,7236.19,8498.84
15,8505.88,5498.767
16,7047.92,5554.008
17,10314.524,9581.109
18,9899.675,6001.31
19,8729.017,6936.699
