Animal,post,pre
2,9747.771,11010.796
4,19136.304,22218.122
6,21995.343,17192.548
7,25450.411,19318.924
8,22427.912,16832.36
10,20554.808,20420.2
11,24036.03,18947.125
13,22680.714,17473.119
14,20664.288,25380.853
15,22992.022,6760.829
16,20821.502,18829.172
17,25171.55,25259.994
18,23764.239,19083.386
19,22691.201,20283.374
